name,principal component 0,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22,principal component 23,principal component 24,principal component 25,principal component 26,principal component 27,principal component 28,principal component 29,principal component 30,principal component 31,principal component 32,principal component 33,principal component 34,principal component 35,Class
grieta177.jpg,-0.7923604784572802,0.08712178582951793,0.008979942038914475,0.11047181984559812,-0.12069215982178212,0.01714246880929493,-0.0585861559313112,-0.0045754773111228225,0.1428775133227499,0.1297840288006667,0.055397766807728864,-0.028335647216577386,0.008327608315907672,-0.10596389409920527,-0.007320221812096836,0.12710634727528355,-0.006701394966853826,-0.10863323412110949,-0.16786569374074023,0.020273960343272297,-0.0426166909790053,-0.0006112710757730049,-0.0577953047950692,0.09020140098267641,0.08552938985075635,-0.026466046285267244,0.04864952483162067,-0.10140425602708783,0.034592428629696706,0.07129381333524269,-0.004078901943449362,0.134034845556211,0.04974232629236553,-0.04778140234825179,-0.1593539810786286,-0.08152645486234726,G-Transverse
grieta178.jpg,-0.7953225572277676,-0.014941701351094119,-0.009777502975178372,0.15021970836308898,-0.14037435571555812,0.005121085264661495,0.11223533387809113,0.039565012789171045,0.1058865287786794,0.04723406620543447,0.01078862213985782,-0.06400929380007181,-0.015445383632608738,-0.015906151749831857,-0.01732937682387371,0.20507498905983157,0.016642575991615036,-0.1039700248563892,-0.17902125667218635,0.021988910465281425,-0.07541990432815308,-0.02656205425926106,-0.051046993854337815,0.05235634597278155,0.12616347258059274,-0.07904092703157574,0.03953677612294891,-0.07797554788688478,-0.03377357213332738,0.01626597956449201,-0.052247107264145665,0.08611206398933562,0.004009804228597914,-0.04367299187952402,-0.10949156208482788,-0.07103349952456367,G-Transverse
grieta179.jpg,-0.8087276591046785,-0.1267795204091648,0.016531520827921593,0.18658854075989292,-0.17222791099400556,0.017487945341225292,0.23550529295048286,0.07477558723306697,0.062066223636432404,0.021197423795935665,-0.00990785953540111,-0.027567662744605315,-0.041352791276122694,-0.039095902549712194,-0.029515803862288446,0.21286512926743725,0.04089212281997847,-0.08329747703635289,-0.15474895537452785,-0.00957947963028542,-0.06534567232904706,-0.0024782804445360566,-0.04402405849682821,0.017844786664433548,0.07342636103408147,-0.07678662285085504,-0.02270788345470502,-0.012432825302344918,-0.0228145111132075,-0.000608645825115949,-0.0493872743473431,0.03329921350716557,-0.0034585787801668325,0.01324783931971339,-0.04649468070495488,0.040225586226389665,G-Transverse
grieta180.jpg,-0.80017927406986,-0.15185674300197638,0.020330792019640914,0.19527617811418368,-0.1863351341128451,0.006825920986134551,0.23696526693714856,0.06963627065275764,0.07859196794994833,0.07331649292164043,-0.006710028770604132,-0.02401728493017506,-0.01009683592785565,-0.060626945930984964,-0.016742853899605677,0.13425361317784162,0.02289506382913924,0.006471932052611518,-0.05794977080091298,-0.09563871295164476,-0.04975566441441777,-0.021477995201979214,-0.044813254291886866,-0.07076723242482812,-0.09875844312529294,-0.015088411495252599,-0.013388762333378632,0.006338906426074869,0.04012874949459182,-0.01838022687152927,0.02040334975168644,-0.05213787391916632,-0.011308983953018697,0.035386353637331266,0.08739337156061439,0.001375537338384253,G-Transverse
grieta181.jpg,-0.7927657134532096,-0.18227388469219613,0.015109974097476638,0.17081038506674154,-0.17020405644479136,0.01706825979602437,0.16833697511364554,0.05195847719134814,0.09358424796921902,0.14369481537149603,0.01584465405470312,-0.04139862949201493,0.015145924158655847,-0.06456833205232193,0.053295956893368246,-0.0013460090863480789,0.004307252644848546,0.1135494033374526,0.09708749108792265,-0.0967216758234588,0.03215033510518405,0.007590096874504704,-0.003997085497366986,-0.05746829416391009,-0.16944470729738262,0.056364199328162196,0.03740201997909164,0.020140312533154087,0.017167307808852457,-0.0156295190097629,0.0486268439235925,-0.007614219231588631,0.0008189656162961579,0.012887747162448204,0.04513899064846484,-0.05501787642588167,G-Transverse
grieta182.jpg,-0.7947683111228347,-0.1981078188060379,0.008267369171338797,0.14460227119931213,-0.16144487809882596,0.015274059843823986,0.08863681744654367,0.027989128450330403,0.0908996863276303,0.16580903905050678,0.023065300620509564,-0.0044360610429099645,0.03205892740804048,-0.05818546473524764,0.11140809629300427,-0.14872268853041593,0.012136510105406128,0.13978890069176525,0.1530400356786613,-0.0137923299766698,0.09685728671216737,0.015087003812136677,0.04306963218520087,0.020255152514156882,-0.06398851009233304,0.014721993417496129,0.02285240374101172,-0.04545073718800085,-0.03856981339097178,0.0020486605937258024,0.020311851507940393,0.026817191830635936,0.04498391622355061,0.002146055321137481,-0.037382165393325895,-0.018191711750716794,G-Transverse
grieta183.jpg,-0.792859230935126,-0.1915295116968556,0.0031317111312987107,0.11647552390649832,-0.13539891487333602,0.017029907120575404,-0.011800345343162696,-0.0047652172556959084,0.04498544249624873,0.1313700736682466,0.015495019749037792,0.040779637971599565,0.05521516591220322,0.02325170107177128,0.13685993957381967,-0.1777305447552604,0.0009183755659123225,0.1424105391475276,0.15858319939235138,0.12977613838865823,0.024965397602648168,0.03135917465741452,-0.062139434250692065,0.0737935058223424,0.07355442730015722,-0.013554151765122846,0.013927842000520555,-0.03235681709853676,-0.1297039185997685,-0.049686439914298865,-0.02227482859053873,0.038144324328050296,0.016462978803446555,0.0004622718020870731,-0.012334183389887145,-0.006095834555757774,G-Transverse
grieta184.jpg,-0.795635885857733,-0.17874978963856045,0.001979251487407178,0.10273121206599918,-0.14373776982522665,0.01820550463228239,-0.09959933005596291,-0.020535841938029945,-0.058677342347463156,0.03874545403069041,-0.010110426495830532,0.17428737680843512,0.04104683822061123,0.057384006077424825,0.10169791541133888,-0.17067550726725916,-0.014446789497194273,0.06574029848245466,0.0366805868488757,0.1916608863954407,-0.02774650087233833,-0.0018850265706236596,-0.1063850783965048,0.057789545849429504,0.0794239734304982,-0.07778420692894882,-0.008499987798460933,-0.04373727536011282,-0.03921130990127058,-0.01807287033251049,-0.00791950275259123,-0.011268732615644542,-0.020698154976826352,0.04214788691083635,0.042840758361145696,-0.00925704730839206,G-Transverse
grieta185.jpg,-0.7917948570029757,-0.19421666857138564,-0.003641561162645174,0.06387620016983626,-0.12181706202272163,0.014464783980907087,-0.18908467264693093,-0.029104629399054054,-0.12463369537370601,-0.01378417898356978,-0.029948122088676143,0.15477896717933828,0.05952431602705656,0.1246320142908131,0.11593096899499418,-0.11161758755179654,0.024269946187848827,-0.00715253505996181,-0.05706124562250904,0.140276433797379,-0.035775959653784724,0.005912551516675085,-0.08484533936419299,-0.006132210124005007,-0.005920965308429183,-0.07447616155114274,-0.005849653677020177,0.005186320750863666,0.0693366928355708,0.06427701494118307,0.02964780669770109,-0.016299374387371494,-0.05782868498957016,0.052093974253057757,0.031111600278848447,0.04149829310381708,G-Transverse
grieta186.jpg,-0.7933107998667035,-0.22242099541450736,-0.020851950497638997,0.03040245617159734,-0.08083458988163489,0.0014946028603302147,-0.24035173564506318,-0.029526242415035465,-0.16334190921935027,-0.07088964334026128,-0.04784569599117526,0.052224373024748985,0.047942797125177045,0.16270261846051373,0.11446878459095568,-0.005464207549911049,0.058813683991672736,-0.0721131779575679,-0.09887178162278903,0.0007446322861375157,0.003291729182106659,0.007714768892096183,0.013814487167703185,-0.04961061863444102,-0.0825273985809034,-0.02209095969361864,-0.007308228204118832,0.010504726451484878,0.09750130438787635,0.06389988224557169,0.01852445585675832,0.035051129711254576,-0.0166529121169325,-0.0065567001240213205,-0.011073041571636872,-0.04441597099038289,G-Transverse
